"","ODFW_ID","OSU_ID","Year","WMU","Latitude","Longitude","Sex","DAN","Nloci","C273.1","C273.2","C89.1","C89.2","OdhE.1","OdhE.2","SBTD05.1","SBTD05.2","SBTD06.1","SBTD06.2","T159s.1","T159s.2","T7.1","T7.2"
"1","D-00438","NoB001",2023,"NorthBank","43.325926699999997","-123.2029433","f","7","7","142","170","175","175","149","149","141","141","187","195","187","187","231","231"
"2","D-00439","NoB002",2023,"NorthBank","43.325926699999997","-123.2029433","f","1","6","142","170","175","183","141","149","141","141","187","195","195","195",NA,NA
"3","D-00440","NoB003",2023,"NorthBank","43.3258917","-123.2029367","f","1","6","142","170","175","183","141","149","141","141","187","195","195","195",NA,NA
"4","D-00441","NoB004",2023,"NorthBank","43.326000000000001","-123.2029466","f","8","7","142","170","175","183","141","149","113","141","187","195","195","195","219","219"
"5","D-00442","NoB005",2023,"NorthBank","43.325998300000002","-123.20295830000001","m","4","6","170","170","187","187","141","145","113","113",NA,NA,"187","187","219","219"
"6","D-00443","NoB006",2023,"NorthBank","43.326018599999998","-123.2029412","f","2","7","170","170","179","183","145","149","113","113","187","187","187","187","219","219"
"7","D-00444","NoB007",2023,"NorthBank","43.326045000000001","-123.2029567","m","3","6","142","170","175","175","141","141",NA,NA,"195","195","187","187","219","219"
"8","D-00445","NoB008",2023,"NorthBank","43.326048299999997","-123.2029733","f","7","7","142","170","175","187","149","149","141","141","187","195","187","187","231","231"
"9","D-00448","NoB011",2023,"NorthBank","43.326033299999999","-123.2030817","f",NA,"5","142","170","175","187","149","149","141","141",NA,NA,"187","187",NA,NA
"10","D-00449","NoB012",2023,"NorthBank","43.326018300000001","-123.2031233","f","9","6","142","170","175","183","141","149","141","141","195","195","187","195",NA,NA
"11","D-00450","NoB013",2023,"NorthBank","43.325994999999999","-123.203095","f","2","7","170","170","179","183","145","149","113","113","187","187","187","187","219","219"
"12","D-00451","NoB014",2023,"NorthBank","43.326039999999999","-123.2031217","m","10","6","170","170","183","187","141","149",NA,NA,"187","195","195","195","219","219"
"13","D-00452","NoB015",2023,"NorthBank","43.326016699999997","-123.2031617","m","4","7","170","170","187","187","141","145","113","113","187","195","187","187","219","219"
"14","D-00453","NoB016",2023,"NorthBank","43.325962099999998","-123.2031331","m","4","6","170","170","187","187","141","145",NA,NA,"187","195","187","187","219","219"
"15","D-00454","NoB017",2023,"NorthBank","43.325955","-123.20312","f","5","7","170","170","187","187","141","149","113","113","187","187","187","187","219","219"
"16","D-00456","NoB019",2023,"NorthBank","43.325834999999998","-123.2030917","m","11","6","170","170","183","183","141","149","113","113","187","195",NA,NA,"219","219"
"17","D-00457","NoB020",2023,"NorthBank","43.325821699999999","-123.203025","m","12","7","170","170","183","187","141","149","113","113","187","195","187","195","219","219"
"18","D-00458","NoB021",2023,"NorthBank","43.325776699999999","-123.2030183","f","5","7","170","170","187","187","149","149","113","113","187","187","187","187","219","219"
"19","D-00459","NoB022",2023,"NorthBank","43.325703300000001","-123.2022083","f","5","7","170","170","187","187","149","149","113","113","187","187","187","187","219","219"
"20","D-00460","NoB023",2023,"NorthBank","43.326273299999997","-123.2022533","m","3","7","142","170","175","175","141","141","113","141","195","195","187","187","219","219"
"21","D-00461","NoB024",2023,"NorthBank","43.326308300000001","-123.20220329999999","m","3","6","142","170","175","175","141","141","113","141","195","195","187","187",NA,NA
"22","D-00463","NoB026",2023,"NorthBank","43.328139499999999","-123.2014284","m","13","6","142","170","171","187","145","149","113","113","187","187","187","187",NA,NA
"23","D-00464","NoB027",2023,"NorthBank","43.329175900000003","-123.20113189999999","m","14","6","170","170","183","187","141","149","113","113","187","195","195","195",NA,NA
"24","D-00465","NoB028",2023,"NorthBank","43.329422299999997","-123.2007849","f","6","7","142","170","179","187","141","149","113","113","187","195","187","187","231","231"
"25","D-00466","NoB029",2023,"NorthBank","43.329510999999997","-123.2005547","m","15","6","142","170","171","171","145","149","113","113",NA,NA,"187","187","219","219"
"26","D-00467","NoB030",2023,"NorthBank","43.329692600000001","-123.2003663","f","16","6","170","170","183","187","145","149","113","141","187","187","187","187",NA,NA
"27","D-00468","NoB031",2023,"NorthBank","43.3297545","-123.2003476","f",NA,"5","170","170","175","175","145","149",NA,NA,"187","205","187","195",NA,NA
"28","D-00469","NoB032",2023,"NorthBank","43.329985000000001","-123.20014500000001","f","6","7","142","170","179","179","141","149","113","113","187","195","187","187","231","231"
"29","D-00471","NoB034",2023,"NorthBank","43.329650000000001","-123.2010567","f","6","7","142","170","179","179","141","149","113","113","187","195","187","187","231","231"
"30","D-00472","NoB035",2023,"NorthBank","43.329273299999997","-123.2026233","f","17","7","142","170","175","175","149","149","113","113","187","187","187","187","231","231"
"31","D-00476","NoB039",2023,"NorthBank","43.332308300000001","-123.2067467","f","18","6","142","170","175","175","149","149","113","113",NA,NA,"187","187","219","231"
"32","D-00482","NoB045",2023,"NorthBank","NA","NA","m","19","6","170","170","187","187","141","145","113","113","195","195","187","187",NA,NA
"33","D-00483","NoB046",2023,"NorthBank","43.326201699999999","-123.20341000000001","m",NA,"5","170","170","183","187","141","149",NA,NA,"195","195","195","195",NA,NA
