"","ODFW_ID","OSU_ID","Year","WMU","Latitude","Longitude","Sex","DAN","Nloci","C273.1","C273.2","C89.1","C89.2","OdhE.1","OdhE.2","SBTD05.1","SBTD05.2","SBTD06.1","SBTD06.2","T159s.1","T159s.2","T7.1","T7.2"
"1","16.G1.C1.22.01","SaD2800",2022,"Santiam",44.4240280010788,-122.399060999994,"f","1","7","146","170","175","175","149","149","113","137","191","195","191","191","227","231"
"2","16.G1.C1.22.02","SaD2801",2022,"Santiam",44.4245870010788,-122.399598999994,"f","1","7","146","170","175","175","149","149","113","137","191","195","191","191","227","231"
"3","16.G1.C1.22.03","SaD2802",2022,"Santiam",44.4246940010788,-122.399594999994,"f","1","7","146","170","175","175","149","149","113","137","191","195","191","191","227","231"
"4","16.G1.C1.22.04","SaD2803",2022,"Santiam",44.4249500010788,-122.399252999994,"f","1","7","146","170","175","175","149","149","113","137","191","195","191","191","227","231"
"5","16.G1.C1.22.05","SaD2804",2022,"Santiam",44.4251990010788,-122.399256999994,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","16.G1.C1.22.06","SaD2805",2022,"Santiam",44.4317470010789,-122.399509999994,"f","2","6","154","154","159","167","141","149","133","133","191","195","203","207",NA,NA
"7","16.G1.C1.22.07","SaD2806",2022,"Santiam",44.4317750010789,-122.398566999994,"f","133","5","154","154","159","159","141","149","133","137","191","195",NA,NA,NA,NA
"8","16.G1.C1.22.08","SaD2807",2022,"Santiam",44.4318530010789,-122.398554999994,"m","3","7","146","154","167","175","149","149","133","133","191","195","203","203","235","243"
"9","16.G1.C1.22.09","SaD2808",2022,"Santiam",44.4317690010789,-122.398754999994,"m","3","7","146","154","167","175","149","149","133","133","191","195","203","203","235","243"
"10","16.G1.C1.22.10","SaD2809",2022,"Santiam",44.4318580010789,-122.398802999994,"f","2","5","154","154","159","167","141","149","133","133","191","195",NA,NA,NA,NA
"11","16.G1.C1.22.11","SaD2810",2022,"Santiam",44.4304250010789,-122.392847999994,"f","134","6","170","170","175","179","141","149","113","133","191","199",NA,NA,"227","239"
"12","16.G1.C1.22.12","SaD2811",2022,"Santiam",44.4304090010788,-122.392557999994,"m","4","7","170","170","159","159","141","149","137","137","195","195","219","223","235","243"
"13","16.G1.C1.22.13","SaD2812",2022,"Santiam",44.4304980010789,-122.392149999994,"f","135","7","170","170","159","171","141","149","113","133","195","199","195","219","231","235"
"14","16.G1.C1.22.14","SaD2813",2022,"Santiam",44.4304650010789,-122.392110999994,"m","4","7","170","170","159","159","141","149","137","137","195","195","219","223","235","243"
