"","ODFW_ID","OSU_ID","Year","WMU","Latitude","Longitude","Sex","DAN","Nloci","C273.1","C273.2","C89.1","C89.2","OdhE.1","OdhE.2","SBTD05.1","SBTD05.2","SBTD06.1","SBTD06.2","T159s.1","T159s.2","T7.1","T7.2"
"1","12.G1.C1.22.01","WiD0001",2022,"Wilson",45.5292270010888,-123.773102000008,"f","1","6","170","170","179","183","141","149","133","133","183","195",NA,NA,"231","235"
"2","12.G1.C1.22.02","WiD0002",2022,"Wilson",45.5290550010888,-123.773237000008,"f","2","7","170","170","159","183","141","141","133","137","183","195","203","207","231","235"
"3","12.G1.C1.22.03","WiD0003",2022,"Wilson",45.5290490010888,-123.773167000008,"f","1","6","170","170","179","183","141","149","133","133","183","195",NA,NA,"231","235"
"4","12.G1.C1.22.04","WiD0004",2022,"Wilson",45.5291840010888,-123.773337000008,"f","1","6","170","170","179","183","141","149","133","133","183","195",NA,NA,"231","235"
"5","12.G1.C1.22.05","WiD0005",2022,"Wilson",45.5291480010888,-123.773389000009,NA,NA,"3","170","170",NA,NA,"141","141","137","137",NA,NA,NA,NA,NA,NA
"6","12.G1.C1.22.06","WiD0006",2022,"Wilson",45.5291030010888,-123.773553000008,"f","1","7","170","170","179","183","141","149","133","133","183","195","207","207","231","235"
"7","12.G1.C1.22.07","WiD0007",2022,"Wilson",45.5291070010888,-123.773472000008,"f","1","7","170","170","179","183","141","149","133","133","183","195","207","207","231","235"
"8","12.G1.C1.22.08","WiD0008",2022,"Wilson",45.5290970010888,-123.773500000008,"f","1","7","170","170","179","183","141","149","133","133","183","195","207","207","231","235"
"9","12.G1.C1.22.09","WiD0009",2022,"Wilson",45.5290720010888,-123.773569000008,"f","1","7","170","170","179","183","141","149","133","133","183","195","207","207","231","235"
"10","12.G1.C1.22.10","WiD0010",2022,"Wilson",45.5290760010888,-123.773811000008,"f","1","6","170","170","179","183","141","149","133","133","183","195",NA,NA,"231","235"
"11","12.G1.C1.22.11","WiD0011",2022,"Wilson",45.5290810010889,-123.774267000008,"f","2","7","170","170","159","183","141","141","137","137","183","195","203","207","231","235"
"12","12.G1.C1.22.12","WiD0012",2022,"Wilson",45.5347680010888,-123.777885000009,NA,NA,"2","154","154",NA,NA,"141","141",NA,NA,NA,NA,NA,NA,NA,NA
"13","12.G1.C1.22.13","WiD0013",2022,"Wilson",45.5348010010888,-123.777697000009,"f","86","6","154","170","159","171","141","149",NA,NA,"183","199","203","207","231","231"
"14","12.G1.C2.22.01","WiD0014",2022,"Wilson",45.5251450010888,-123.761016000008,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","12.G1.C2.22.02","WiD0015",2022,"Wilson",45.5272690010888,-123.760842000008,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","12.G1.C2.22.03","WiD0016",2022,"Wilson",45.5273780010888,-123.760839000008,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","12.G1.C2.22.04","WiD0017",2022,"Wilson",45.5286970010888,-123.761263000008,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","12.G1.C2.22.05","WiD0018",2022,"Wilson",45.5287960010888,-123.761266000008,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","12.G1.C2.22.06","WiD0019",2022,"Wilson",45.5287980010888,-123.761286000008,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
