"","ODFW_ID","OSU_ID","Year","WMU","Latitude","Longitude","Sex","DAN","Nloci","C273.1","C273.2","C89.1","C89.2","OdhE.1","OdhE.2","SBTD05.1","SBTD05.2","SBTD06.1","SBTD06.2","T159s.1","T159s.2","T7.1","T7.2"
"1","D-00379","DxD0299",2023,"Dixon","43.282879600000001","-122.7899267",NA,NA,"4","146","170",NA,NA,"141","149","137","137","191","191",NA,NA,NA,NA
"2","D-00380","DxD0300",2023,"Dixon","43.281828300000001","-122.79052780000001","f","1","5","170","170","175","175","149","149","133","133",NA,NA,NA,NA,"227","231"
"3","D-00381","DxD0301",2023,"Dixon","43.281801799999997","-122.7904494","m","140","5","170","170","159","175","141","149","133","133","195","199",NA,NA,NA,NA
"4","D-00382","DxD0302",2023,"Dixon","43.281634599999997","-122.79040000000001",NA,NA,"1",NA,NA,NA,NA,NA,NA,"133","133",NA,NA,NA,NA,NA,NA
"5","D-00383","DxD0303",2023,"Dixon","43.281418299999999","-122.79046","m","141","7","146","170","175","179","149","149","137","137","195","199","183","203","227","243"
"6","D00741","DxD0304",2023,"Dixon","43.2901545","-122.81988920000001",NA,NA,"3","170","170","179","179","141","149",NA,NA,NA,NA,NA,NA,NA,NA
"7","D00742","DxD0305",2023,"Dixon","43.290502400000001","-122.81999450000001",NA,NA,"3","170","170","159","175","141","141",NA,NA,NA,NA,NA,NA,NA,NA
"8","D00743","DxD0306",2023,"Dixon","43.290517399999999","-122.8200444",NA,NA,"2","170","170","179","179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","D00744","DxD0307",2023,"Dixon","43.2911377","-122.8205778",NA,NA,"4","170","170","179","179","141","149",NA,NA,"191","199",NA,NA,NA,NA
"10","D00745","DxD0308",2023,"Dixon","43.291276400000001","-122.820466",NA,NA,"4",NA,NA,"159","159","141","141","125","125","195","195",NA,NA,NA,NA
"11","D00746","DxD0309",2023,"Dixon","43.292064699999997","-122.82109939999999","m","142","6","170","170",NA,NA,"141","149","125","125","195","195","219","219","231","231"
