"","ODFW_ID","OSU_ID","Year","WMU","Latitude","Longitude","Sex","DAN","Nloci","C273.1","C273.2","C89.1","C89.2","OdhE.1","OdhE.2","SBTD05.1","SBTD05.2","SBTD06.1","SBTD06.2","T159s.1","T159s.2","T7.1","T7.2"
"1","D-00470","NoB033",2023,"NorthBank","43.330370600000002","-123.19961739999999","f","16","7","154","170","159","171","141","141","133","133","195","199","191","203","231","231"
"2","D-00480","NoB043",2023,"NorthBank","43.326045000000001","-123.2034117","f","18","6","170","170","179","179","149","149","131","137","183","199",NA,NA,"231","231"
"3","D01218","NoB047",2023,"NorthBank","43.338281100000003","-123.2077503","m","1","6","154","170","179","179","141","141","133","133","195","195","203","203",NA,NA
"4","D01219","NoB048",2023,"NorthBank","43.338222799999997","-123.2077505",NA,"19","6","154","170","175","179","141","141","133","133",NA,NA,"203","203","227","227"
"5","D01220","NoB049",2023,"NorthBank","43.338034700000001","-123.2078059","f","2","6","154","170","167","175","141","149",NA,NA,"191","195","203","203","223","243"
"6","D01222","NoB051",2023,"NorthBank","43.338022199999997","-123.20781719999999","f","2","6","154","170","167","175","141","149","129","137","191","195","203","203",NA,NA
"7","D01223","NoB052",2023,"NorthBank","43.338008100000003","-123.2078066","f","20","7","154","170","159","175","141","141","129","129","191","195","203","203","223","227"
"8","D01227","NoB056",2023,"NorthBank","43.339140800000003","-123.20736890000001","f","21","6","154","170","159","175","149","149","129","129","191","195",NA,NA,"227","243"
"9","D01229","NoB058",2023,"NorthBank","43.3424172","-123.2116137","m","3","6","146","154","159","175","149","149","133","133","191","195","191","219",NA,NA
"10","D01231","NoB060",2023,"NorthBank","43.342688500000001","-123.2129389","m","22","7","154","170","171","175","149","149","141","141","183","191","203","203","227","231"
"11","D01233","NoB062",2023,"NorthBank","43.342559000000001","-123.21434979999999","f","23","7","154","154","159","159","141","141","133","133","191","199","191","207","227","227"
"12","D01234","NoB063",2023,"NorthBank","43.342545200000004","-123.2144172","m","24","6","142","154","175","179","149","149","133","133","191","191",NA,NA,"227","235"
"13","D01235","NoB064",2023,"NorthBank","43.342600300000001","-123.214496","f","4","6","154","170","159","175","141","141","129","133","191","199",NA,NA,"227","227"
"14","D01237","NoB066",2023,"NorthBank","43.3425133","-123.2143998","f","4","6","154","170","159","175","141","141","129","133","191","199",NA,NA,"227","227"
"15","D01239","NoB068",2023,"NorthBank","43.342697999999999","-123.2147689","f","25","5","154","170","159","163","149","149","129","129","195","195",NA,NA,NA,NA
"16","D01242","NoB071",2023,"NorthBank","43.338034200000003","-123.2115349","f","26","7","154","154","175","179","141","149","133","133","195","199","203","219","223","231"
"17","D01243","NoB072",2023,"NorthBank","43.337372000000002","-123.2110912","f","27","7","154","170","167","179","149","149","133","133","191","195","203","203","227","243"
"18","D01244","NoB073",2023,"NorthBank","43.337358700000003","-123.2110935","m","28","6","154","154","159","159","141","149","125","137","183","191","191","203",NA,NA
"19","D01245","NoB074",2023,"NorthBank","43.337377400000001","-123.2111195","m","1","6","154","170","179","179","141","141","133","137","195","195","203","203",NA,NA
"20","D01248","NoB077",2023,"NorthBank","43.337449700000001","-123.21074110000001","m","1","6","154","170","179","179","141","141","133","133","195","195","203","203",NA,NA
"21","D01249","NoB078",2023,"NorthBank","43.337441499999997","-123.2105894","f","29","7","154","170","175","179","141","149","125","125","191","191","191","199","231","231"
"22","D01250","NoB079",2023,"NorthBank","43.337412100000002","-123.2105427","m","3","6","146","154","159","175","149","149","133","133","191","195","191","219",NA,NA
"23","D01251","NoB080",2023,"NorthBank","43.337609800000003","-123.20902700000001","m","30","6","142","170","159","179","149","149","133","133","183","199","191","207",NA,NA
"24","D01252","NoB081",2023,"NorthBank","43.343503699999999","-123.2257943","f","31","7","170","170","159","175","141","149","125","125","183","195","203","203","243","243"
"25","D01253","NoB082",2023,"NorthBank","43.344761099999999","-123.2232609","f","42","5","146","170",NA,NA,NA,NA,"131","137","195","199","199","203","231","243"
"26","D01254","NoB083",2023,"NorthBank","43.344760100000002","-123.2232068","f","47","5","170","170","159","179","149","149","131","133",NA,NA,"203","203",NA,NA
"27","D01255","NoB084",2023,"NorthBank","43.345312900000003","-123.22477910000001","m","32","6","170","170",NA,NA,"149","149","113","125","183","191","203","203","235","243"
"28","D01258","NoB087",2023,"NorthBank","43.345357499999999","-123.22475660000001","f","5","7","170","170","159","179","149","149","131","133","191","195","203","203","227","227"
"29","D01259","NoB088",2023,"NorthBank","43.3453534","-123.22469390000001","f","5","6","170","170","159","179","149","149","131","133",NA,NA,"203","203","227","227"
"30","D01260","NoB089",2023,"NorthBank","43.345262699999999","-123.2249887","f","6","7","142","170","175","179","141","141","131","133","183","195","203","203","227","227"
"31","D01262","NoB091",2023,"NorthBank","43.345254099999998","-123.2249946","f","6","7","142","170","175","179","141","141","131","133","183","195","203","203","227","227"
"32","D01263","NoB092",2023,"NorthBank","43.345247100000002","-123.2249927",NA,"7","5","170","170","167","179","141","149",NA,NA,"191","195","203","203",NA,NA
