"","ODFW_ID","OSU_ID","Year","WMU","Latitude","Longitude","Sex","DAN","Nloci","C273.1","C273.2","C89.1","C89.2","OdhE.1","OdhE.2","SBTD05.1","SBTD05.2","SBTD06.1","SBTD06.2","T159s.1","T159s.2","T7.1","T7.2"
"1","R00125","RoD0001",2023,"Rogue",42.79962,-122.37444,"f","129","7","146","154","171","175","149","149","125","137","191","195","203","223","243","243"
"2","R00126","RoD0002",2023,"Rogue",42.79975,-122.37033,"f","130","7","154","154","159","167","141","149","113","125","191","195","195","223","227","243"
"3","R00127","RoD0003",2023,"Rogue",42.79991,-122.37036,"f","129","7","146","154","171","175","149","149","125","137","191","195","203","203","243","243"
"4","R00128","RoD0004",2023,"Rogue",42.80176,-122.36881,"f","132","7","154","154","159","167","141","149","125","137","191","195","203","207","231","243"
"5","R00129","RoD0005",2023,"Rogue",42.80211,-122.36412,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","R00130","RoD0006",2023,"Rogue",42.80187,-122.36392,"f","133","5","142","170","179","183","141","149","133","133",NA,NA,"207","207",NA,NA
"7","R00131","RoD0007",2023,"Rogue",42.80187,-122.35935,"f","134","7","154","154","159","167","141","149","125","125","191","191","203","207","231","231"
"8","R00132","RoD0008",2023,"Rogue",42.79942,-122.36155,"f","1","6","154","154","159","167","141","149",NA,NA,"191","195","195","195","243","243"
"9","R00133","RoD0009",2023,"Rogue",42.79873,-122.36159,"f","1","5","154","154",NA,NA,"141","149","133","137",NA,NA,"195","195","243","243"
"10","R00134","RoD0010",2023,"Rogue",42.79325,-122.36951,"f","135","7","142","170","179","179","141","141","133","137","195","199","191","215","231","243"
"11","R00135","RoD0011",2023,"Rogue",42.79535,-122.37375,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","R00136","RoD0012",2023,"Rogue",42.78434,-122.37221,NA,NA,"1",NA,NA,NA,NA,"141","141",NA,NA,NA,NA,NA,NA,NA,NA
"13","R00137","RoD0013",2023,"Rogue",42.78442,-122.37289,NA,NA,"1",NA,NA,NA,NA,"141","141",NA,NA,NA,NA,NA,NA,NA,NA
"14","R00138","RoD0014",2023,"Rogue",42.78406,-122.37496,"f","136","7","154","154","167","179","149","149","125","133","195","199","207","219","227","243"
"15","R00139","RoD0015",2023,"Rogue",42.78385,-122.37548,NA,NA,"4","154","154","159","167","141","149",NA,NA,"191","195",NA,NA,NA,NA
"16","R00140","RoD0016",2023,"Rogue",42.78363,-122.37562,"f","1","7","154","154","159","167","141","149","133","137","191","195","195","195","243","243"
"17","R00141","RoD0017",2023,"Rogue",42.78291,-122.37678,"f","137","6","154","154","159","179","141","149","125","125","199","199","207","219",NA,NA
"18","R00142","RoD0018",2023,"Rogue",42.78289,-122.37709,"f","2","7","154","154","159","167","141","149","125","133","195","199","203","207","227","243"
"19","R00143","RoD0019",2023,"Rogue",42.78277,-122.37804,"f","2","7","154","154","159","167","141","149","125","133","195","199","203","207","227","243"
